ts_utc,ticker,city,band,yes_bid,yes_ask,no_bid,no_ask,volume,kmia_obs,nyc_obs
2026-08-30T00:06Z,KXHIGHCHI-26AUG29-B80.5,CHI,B80.5,0.00,0.01,0.99,1.00,88722,81,74
2026-08-30T00:06Z,KXHIGHCHI-26AUG29-B82.5,CHI,B82.5,0.99,1.00,0.00,0.01,20047,81,74
2026-08-30T00:06Z,KXHIGHCHI-26AUG29-B84.5,CHI,B84.5,0.00,0.01,0.99,1.00,9791,81,74
2026-08-30T00:06Z,KXHIGHCHI-26AUG29-B86.5,CHI,B86.5,0.00,0.01,0.99,1.00,4100,81,74
2026-08-30T00:06Z,KXHIGHCHI-26AUG29-T80,CHI,T80,0.00,0.01,0.99,1.00,12093,81,74
2026-08-30T00:06Z,KXHIGHCHI-26AUG29-T87,CHI,T87,0.00,0.01,0.99,1.00,1441,81,74
2026-08-30T00:06Z,KXHIGHCHI-26AUG30-B86.5,CHI,B86.5,0.29,0.30,0.70,0.71,283,81,74
2026-08-30T00:06Z,KXHIGHCHI-26AUG30-B88.5,CHI,B88.5,0.18,0.19,0.81,0.82,429,81,74
2026-08-30T00:06Z,KXHIGHCHI-26AUG30-B90.5,CHI,B90.5,0.02,0.04,0.96,0.98,959,81,74
2026-08-30T00:06Z,KXHIGHCHI-26AUG30-B92.5,CHI,B92.5,0.01,0.02,0.98,0.99,427,81,74
2026-08-30T00:06Z,KXHIGHCHI-26AUG30-T86,CHI,T86,0.50,0.51,0.49,0.50,1718,81,74
2026-08-30T00:06Z,KXHIGHCHI-26AUG30-T93,CHI,T93,0.00,0.01,0.99,1.00,1049,81,74
2026-08-30T00:06Z,KXHIGHDEN-26AUG29-B90.5,DEN,B90.5,0.00,0.01,0.99,1.00,9016,81,74
2026-08-30T00:06Z,KXHIGHDEN-26AUG29-B92.5,DEN,B92.5,0.99,1.00,0.00,0.01,8349,81,74
2026-08-30T00:06Z,KXHIGHDEN-26AUG29-B94.5,DEN,B94.5,0.00,0.01,0.99,1.00,5444,81,74
2026-08-30T00:06Z,KXHIGHDEN-26AUG29-B96.5,DEN,B96.5,0.00,0.01,0.99,1.00,937,81,74
